LU_NAME,KEY_REF,STEP_NO,DESCRIPTION,APP_DATE,NOTE,PREV_APPROVAL_DATE,PERSON_ID,APPROVAL_STATUS
DocIssue,DOC_CLASS=735^DOC_NO=3163931^DOC_REV=()^DOC_SHEET=1^,40,Qtech Approval_Delete if QE approves,14-Jan-21,,14-Jan-21,103834,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163709^DOC_REV=()^DOC_SHEET=1^,40,Qtech Approval_Delete if QE approves,14-Jan-21,,14-Jan-21,103834,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163981^DOC_REV=()^DOC_SHEET=1^,10,Tech/Process Owner Approval,14-Jan-21,,15-Jan-21,103242,Approved
InventoryPart,CONTRACT=100^PART_NO=HAP227887 DRILLED ALUM^,80,EC - Release to Prod/Update IFS/File,14-Jan-21,Waiting for final level,14-Jan-21,100259,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3157398^DOC_REV=2^DOC_SHEET=1^,80,"Snsr/Inst: Eng Coord, Release Distribute",14-Jan-21,Full approval on first revision,14-Jan-21,100309,Approved
InventoryPart,CONTRACT=100^PART_NO=HAP227887 DRILLED COVER^,80,EC - Release to Prod/Update IFS/File,14-Jan-21,Waiting for final level,14-Jan-21,100259,Approved
DocIssue,DOC_CLASS=701^DOC_NO=3123357^DOC_REV=()^DOC_SHEET=1^,60,Notify Originator of ECR disposition,14-Jan-21,Rejected.  The HEMI format is standard and references the SPI.  Production operators need to look to SPI 75-0170 to get the mix ratio.,14-Jan-21,100906,Approved
InventoryPart,CONTRACT=100^PART_NO=HAP227887 WIRE WHT/BLK^,80,EC - Release to Prod/Update IFS/File,14-Jan-21,Waiting for final level,14-Jan-21,100259,Approved
InventoryPart,CONTRACT=100^PART_NO=HAP227887 WIRE WHT/RED^,80,EC - Release to Prod/Update IFS/File,14-Jan-21,waiting for final level,14-Jan-21,100259,Approved
DocIssue,DOC_CLASS=575^DOC_NO=3161673^DOC_REV=()^DOC_SHEET=1^,30,Review & Approve,14-Jan-21,,14-Jan-21,103491,Approved
DocIssue,DOC_CLASS=585^DOC_NO=3162908^DOC_REV=()^DOC_SHEET=1^,30,Review & Approve,14-Jan-21,,14-Jan-21,103491,Approved
InventoryPart,CONTRACT=100^PART_NO=248-232060^,40,DE convert from CSM to purchased,14-Jan-21,,14-Jan-21,103022,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163681^DOC_REV=()^DOC_SHEET=1^,20,Cognizant Engineer Approval,14-Jan-21,,14-Jan-21,103232,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163931^DOC_REV=()^DOC_SHEET=1^,20,Cognizant Engineer Approval,14-Jan-21,,14-Jan-21,103232,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163709^DOC_REV=()^DOC_SHEET=1^,20,Cognizant Engineer Approval,14-Jan-21,,14-Jan-21,103232,Approved
DocIssue,DOC_CLASS=575^DOC_NO=3161673^DOC_REV=()^DOC_SHEET=1^,23,"Review Updates
",14-Jan-21,,14-Jan-21,103749,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3157398^DOC_REV=2^DOC_SHEET=1^,10,Snsr/Inst Engineering Coordinator,14-Jan-21,,14-Jan-21,100309,Approved
InventoryPart,CONTRACT=100^PART_NO=S102907PM120Z145^,10,Snsr/Inst: Dsgn Engineer - Set up new IP,14-Jan-21,,18-Jan-21,100304,Approved
OrderQuotation,QUOTATION_NO=1298008^,35,Heaters: Engineering reviewer,14-Jan-21,"(21) 01/11/21, 8748, Arooz Electronics ( End User : ISAC)  William Chan, Katpon Heater, 
Qty to quote: 25, 50, 100, 250 

Please see attached drawing and ODS for detail information.

Please route this RFQ to Bob Woitalla

Eve 01/11/21",14-Jan-21,103161,Approved
DocIssue,DOC_CLASS=A2600^DOC_NO=3158804^DOC_REV=()^DOC_SHEET=1^,20,Read and acknowledge training,14-Jan-21,,14-Jan-21,103517,Approved
DocIssue,DOC_CLASS=585^DOC_NO=3162908^DOC_REV=()^DOC_SHEET=1^,21,Update,14-Jan-21,,14-Jan-21,103749,Approved
DocIssue,DOC_CLASS=580^DOC_NO=1042779^DOC_REV=9^DOC_SHEET=1^,30,Release Doc,14-Jan-21,,14-Jan-21,104131,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163775^DOC_REV=()^DOC_SHEET=1^,50,Tech/Process Owner Release,14-Jan-21,,14-Jan-21,100086,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163775^DOC_REV=()^DOC_SHEET=1^,45,Prod Lead Approval_Delete if sup apprv,14-Jan-21,,14-Jan-21,103568,Approved
DocIssue,DOC_CLASS=580^DOC_NO=1042779^DOC_REV=9^DOC_SHEET=1^,20,Approval,14-Jan-21,,14-Jan-21,103424,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163116^DOC_REV=()^DOC_SHEET=1^,10,Tech/Process Owner Approval,14-Jan-21,,15-Jan-21,104131,Approved
CustomerOrder,ORDER_NO=1702960^,40,Sales: Finish Quote,14-Jan-21,,12-Jan-21,103353,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163775^DOC_REV=()^DOC_SHEET=1^,40,Qtech Approval_Delete if QE approves,14-Jan-21,,14-Jan-21,102450,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163775^DOC_REV=()^DOC_SHEET=1^,20,Cognizant Engineer Approval,14-Jan-21,,14-Jan-21,103415,Approved
DocIssue,DOC_CLASS=900^DOC_NO=3163737^DOC_REV=()^DOC_SHEET=1^,10,Cal Tech - Initiate Approval,14-Jan-21,,14-Jan-21,100355,Approved
ReturnMaterialLine,RMA_LINE_NO=1^RMA_NO=12588^,50,Disposition RMA,14-Jan-21,,,103834,Approved
DocIssue,DOC_CLASS=701^DOC_NO=3123357^DOC_REV=()^DOC_SHEET=1^,60,"Eng Coord–Impl, Close, Release &File ECR",14-Jan-21,,14-Jan-21,100259,Approved
InquiryOrder,INQUIRY_NO=8043^,30,Cognizant Engineer,14-Jan-21,,14-Jan-21,103446,Approved
OrderQuotation,QUOTATION_NO=1298101^,10,Sales: Start Clause Review,14-Jan-21,"Removed Engineering, Quality, Purchasing and Finance as no new clauses apply.",14-Jan-21,100606,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163596^DOC_REV=()^DOC_SHEET=1^,10,Originator,14-Jan-21,,15-Jan-21,103415,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163931^DOC_REV=()^DOC_SHEET=1^,10,Tech/Process Owner Approval,14-Jan-21,,14-Jan-21,102055,Approved
MrbHead,MRB_NUMBER=4900^,40,QA Close out MRB,14-Jan-21,,13-Jan-21,102450,Approved
DocIssue,DOC_CLASS=701^DOC_NO=3163824^DOC_REV=()^DOC_SHEET=1^,10,Person initiating ECR,14-Jan-21,,14-Jan-21,103433,Approved
OrderQuotation,QUOTATION_NO=1297334^,20,Flex: Design Engineer - Quote Part,14-Jan-21,"(20), UPDATED DUE DATE 12/18/2020, Top Opps #8679, BAE Systems, Michael Whitney, Custom new model Flex proprietary to BAE Systems, Qty to quote 6, 100, 200, 300 & 400, Technical Contact is Maria Felix mobile # 603-391-6895, 
New Model Drawings and part lists attached:
8567946(-),   Doc #3146838
8567947(A),  Doc #3146994
8567949(-),   Doc #3146998
Part list for 8567946-1 Rev -,   Doc #3147000
Part list for 8567947-1 Rev A,  Doc #3147001
Zip File for 8567947-1 Rev A,  Doc #3147002
8577792(-),   Doc#3154350    (added on 12/16/2020)

Please also review the following clauses once part is set up:
QA Codes: 
106 - Source Inspection 
111 - Supplier Recorded Data
145 - Workmanship
146 - Printed Circuit Boards
195 - Foreign Object Debris/Foreign Material Inspection
197 - Workmanship Acceptability Guidlines (RF01447) 
314 - Source First Article Inspect (On Site) 

Please reference the following Clause Documents:
Quality Codes 00-315 Rev 11/15/2020,  IFS Doc #3147045
Supplier Packaging Codes Rev 11/15/2020, IFS Doc #3147046
(related to clause 109) Supplier Source Inspection Request Instructions 11-054a for form 11-054 Rev 06/21/2022,  IFS Doc #3147353
(related to clause 106) Source Inspection Request Form 11-054 Rev 06/21/2019,  IFS Doc #3147348
(related to clause 314) FAI Supplier Requirement B25279 Rev G dated 08/12/2019,  IFS Doc #3147338
(related to clause 197) Workmanship Acceptability Guideline RF01447 (clause 197), IFS Doc #2700483



",14-Jan-21,103446,Approved
NonConformanceReport,NCR_NO=1489^,50,Verify Correction Effectiveness w/ Evid.,14-Jan-21,,14-Jan-21,100529,Approved
OrderQuotation,QUOTATION_NO=1297619^,70,Sales: CrossRef/Pricing/Quote,14-Jan-21,,12-Jan-21,100510,Approved
OrderQuotation,QUOTATION_NO=1297849^,70,Sales: CrossRef/Pricing/Quote,14-Jan-21,,12-Jan-21,100510,Approved
NonConformanceReport,NCR_NO=1489^,40,Document Completed Correction Activity,14-Jan-21,,14-Jan-21,103511,Approved
NonConformanceReport,NCR_NO=1489^,30,Disposition Product/Material,14-Jan-21,,14-Jan-21,103511,Approved
NonConformanceReport,NCR_NO=1489^,20,Contain Product/Material,14-Jan-21,,14-Jan-21,103511,Approved
ReturnMaterialLine,RMA_LINE_NO=1^RMA_NO=12557^,10,"Log in RMA, Add notes, Notice to cust",14-Jan-21,,19-Jan-21,103834,Approved
DocIssue,DOC_CLASS=A2600^DOC_NO=3159599^DOC_REV=()^DOC_SHEET=1^,20,Acknowledgement of Training,14-Jan-21,Rob,6-Jan-21,100068,Approved
CustomerInfo,CUSTOMER_ID=186930^,10,CSR does initial customer master setup,14-Jan-21,,14-Jan-21,100615,Approved
DocIssue,DOC_CLASS=A2600^DOC_NO=3159642^DOC_REV=()^DOC_SHEET=1^,20,Acknowledgement of Training,14-Jan-21,,6-Jan-21,100068,Approved
MrbHead,MRB_NUMBER=4923^,30,SQE Reveiw,14-Jan-21,Scott and I are both on the pre-sent email from the supplier with the certs and each presumed the other had taken care of attaching in IFS. ,14-Jan-21,103491,Approved
DocIssue,DOC_CLASS=A2600^DOC_NO=3159648^DOC_REV=()^DOC_SHEET=1^,20,Acknowledgement of Training,14-Jan-21,,6-Jan-21,100068,Approved
DocIssue,DOC_CLASS=A2600^DOC_NO=3159655^DOC_REV=()^DOC_SHEET=1^,20,Acknowledgement of Training,14-Jan-21,,6-Jan-21,100068,Approved
NonConformanceReport,NCR_NO=1413^,40,Document Completed Correction Activity,14-Jan-21,,14-Jan-21,100624,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163364^DOC_REV=()^DOC_SHEET=1^,50,Tech/Process Owner Release,14-Jan-21,,14-Jan-21,100435,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163364^DOC_REV=()^DOC_SHEET=1^,45,Prod Lead Approval_Delete if sup apprv,14-Jan-21,,14-Jan-21,103616,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163364^DOC_REV=()^DOC_SHEET=1^,40,QE Approval_Delete if Qtech approves,14-Jan-21,,14-Jan-21,103456,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3163074^DOC_REV=()^DOC_SHEET=1^,50,Eng- ECO review Dft changes,14-Jan-21,,20-Jan-21,104102,Approved
DocIssue,DOC_CLASS=470^DOC_NO=3163857^DOC_REV=()^DOC_SHEET=1^,10,Snsr/Inst Dsgn Eng,14-Jan-21,,14-Jan-21,100624,Approved
InventoryPart,CONTRACT=100^PART_NO=HAP236673-104^,130,EC - Release to Prod/Update IFS/File,14-Jan-21,,14-Jan-21,100259,Approved
InventoryPart,CONTRACT=100^PART_NO=HK236925^,11,EC - Assign Drafter/Place on EPR,14-Jan-21,,14-Jan-21,103207,Approved
InventoryPart,CONTRACT=100^PART_NO=HAP236673-104 LAMINATED^,80,EC - Release to Prod/Update IFS/File,14-Jan-21,,14-Jan-21,100259,Approved
DocIssue,DOC_CLASS=A2600^DOC_NO=3159662^DOC_REV=()^DOC_SHEET=1^,20,Acknowledgement of Training,14-Jan-21,,6-Jan-21,100068,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3113623^DOC_REV=()^DOC_SHEET=1^,80,"Snsr/Inst: Eng Coord, Release Distribute",14-Jan-21,,13-Jan-21,100309,Approved
OrderQuotation,QUOTATION_NO=1297858^,20,Snsr/Inst: Eng New Product Development,14-Jan-21,"STATOR; (21),1/11/21, 8732 ,Beijing Dictronix /VEM, Bob Xu , New Sensor, pls quote based on attached ODS ,drawing and Topopps, pls contact RSM Bob Xu directly if have any technical issue. Thanks !",14-Jan-21,100634,Approved
MrbHead,MRB_NUMBER=4924^,40,Buyer Disposition if needed,14-Jan-21,,14-Jan-21,100308,Approved
InventoryPart,CONTRACT=100^PART_NO=TC100852JG108T68C8^,40,Sales,14-Jan-21,Update the sales group,14-Jan-21,100059,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3163833^DOC_REV=()^DOC_SHEET=1^,10,Cognizant Engineer Approval,14-Jan-21,,14-Jan-21,103107,Approved
InventoryPart,CONTRACT=100^PART_NO=293-234516^,20,Purchasing,14-Jan-21,,14-Jan-21,103239,Approved
DocIssue,DOC_CLASS=701^DOC_NO=3107073^DOC_REV=()^DOC_SHEET=1^,50,Close ECR,14-Jan-21,Closeout ECR - Task Done,14-Jan-21,100309,Approved
InventoryPart,CONTRACT=100^PART_NO=AS5180PA89Z2^,40,PRELIM - Connected Objects,14-Jan-21,Build Docs Checked,14-Jan-21,100309,Approved
InventoryPart,CONTRACT=100^PART_NO=S101184PF79T295Z394TS^,30,PRELIMINARY - Connected Objects,14-Jan-21,Docs Checked,14-Jan-21,100309,Approved
InventoryPart,CONTRACT=100^PART_NO=TC100852JG108T68C8^,30,PRELIMINARY - Connected Objects,14-Jan-21,Docs Checked,14-Jan-21,100309,Approved
InquiryOrder,INQUIRY_NO=8049^,20,Purchasing,14-Jan-21,Will F.,14-Jan-21,103078,Approved
OrderQuotation,QUOTATION_NO=1297976^,70,Sales: CrossRef/Pricing/Quote,14-Jan-21,,19-Jan-21,103513,Approved
InventoryPart,CONTRACT=100^PART_NO=HAP236673-104 ELE^,80,EC - Release to Prod/Update IFS/File,14-Jan-21,,14-Jan-21,100259,Approved
DocIssue,DOC_CLASS=470^DOC_NO=3162506^DOC_REV=()^DOC_SHEET=1^,30,Snsr/Inst: Dsgn Eng,14-Jan-21,,14-Jan-21,100624,Approved
InventoryPart,CONTRACT=100^PART_NO=HAP236673-102^,130,EC - Release to Prod/Update IFS/File,14-Jan-21,,14-Jan-21,100259,Approved
InventoryPart,CONTRACT=100^PART_NO=AS235820^,170,TSCS Engineer (1st Run Output/AI),14-Jan-21,,14-Jan-21,103511,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3159339^DOC_REV=()^DOC_SHEET=1^,20,"Eng- complete ECO form, manage WIP",14-Jan-21,,14-Jan-21,100434,Approved
InventoryPart,CONTRACT=100^PART_NO=HAP236673-102 LAMINATED^,80,EC - Release to Prod/Update IFS/File,14-Jan-21,,14-Jan-21,100259,Approved
DocIssue,DOC_CLASS=701^DOC_NO=3163442^DOC_REV=()^DOC_SHEET=1^,40,Notify Originator of ECR disposition,14-Jan-21,,14-Jan-21,100552,Approved
DocIssue,DOC_CLASS=470^DOC_NO=3162506^DOC_REV=()^DOC_SHEET=1^,20,Snsr/Inst: DE 2nd Check,14-Jan-21,,14-Jan-21,104126,Approved
DocIssue,DOC_CLASS=701^DOC_NO=3163495^DOC_REV=()^DOC_SHEET=1^,30,Cog Eng,14-Jan-21,,14-Jan-21,103161,Approved
DocIssue,DOC_CLASS=701^DOC_NO=3163442^DOC_REV=()^DOC_SHEET=1^,30,Cog Eng,14-Jan-21,,14-Jan-21,103161,Approved
InventoryPart,CONTRACT=100^PART_NO=HAP236673-102 ELE^,80,EC - Release to Prod/Update IFS/File,14-Jan-21,,14-Jan-21,100259,Approved
InventoryPart,CONTRACT=100^PART_NO=HAP236673-101^,130,EC - Release to Prod/Update IFS/File,14-Jan-21,,14-Jan-21,100259,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3163611^DOC_REV=()^DOC_SHEET=1^,20,Cognizant Engineer,14-Jan-21,,15-Jan-21,100599,Approved
InventoryPart,CONTRACT=100^PART_NO=HAP236673 LEADWIRE 2^,80,EC - Release to Prod/Update IFS/File,14-Jan-21,,14-Jan-21,100259,Approved
OrderQuotation,QUOTATION_NO=1297976^,30,Heaters: Engineering respond to quote,14-Jan-21,"New heater HSR237199, which is similar to HSR237134 but half the size. ",19-Jan-21,103706,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163364^DOC_REV=()^DOC_SHEET=1^,20,Cognizant Engineer Approval,14-Jan-21,,14-Jan-21,103107,Approved
InventoryPart,CONTRACT=100^PART_NO=HAP236673-101 LAMINATED^,80,EC - Release to Prod/Update IFS/File,14-Jan-21,,14-Jan-21,100259,Approved
InventoryPart,CONTRACT=100^PART_NO=HAP236673-101 ELE^,80,EC - Release to Prod/Update IFS/File,14-Jan-21,,14-Jan-21,100259,Approved
MrbHead,MRB_NUMBER=4924^,20,Eng MRB Disposition,14-Jan-21,,14-Jan-21,102055,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3163611^DOC_REV=()^DOC_SHEET=1^,15,Drafting Review,14-Jan-21,,15-Jan-21,100343,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163775^DOC_REV=()^DOC_SHEET=1^,10,Tech/Process Owner Approval,14-Jan-21,,14-Jan-21,100086,Approved
InventoryPart,CONTRACT=100^PART_NO=S113PD20T275W236N0-A^,220,TSCS Engineer (1st Run Output/AI),14-Jan-21,,19-Jan-21,100634,Approved
InventoryPart,CONTRACT=100^PART_NO=S113PD20T275W236N0-A^,200,TSCS Design Eng (1st Run Input Review),14-Jan-21,,19-Jan-21,100634,Approved
OrderQuotation,QUOTATION_NO=1297981^,60,Flex: Design Engineer - Quote Part,14-Jan-21,"(20), due 01/15/2021, BAE Systems, Michael Whitney, Custom and Proprietary to BAE, Technical Contact Mike Shaffer michael.e.shaffer@baesystems.com, review Rev U drawing revision for EM4C228404, See IFS Doc #3160973, 3160976 and 3160977 attached.  Last quote was to Rev R.  This quote is for Rev U.  Qty's to quote are 213, 890, 1105
",19-Jan-21,103446,Approved
NonConformanceReport,NCR_NO=1457^,30,Disposition Product/Material,14-Jan-21,,14-Jan-21,103753,Approved
OrderQuotation,QUOTATION_NO=1298107^,10,Sales: Send quote to Engineering,14-Jan-21,,18-Jan-21,105009,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3163024^DOC_REV=()^DOC_SHEET=1^,100,Release Documents,14-Jan-21,,14-Jan-21,100259,Approved
NonConformanceReport,NCR_NO=1327^,65,QA Review & Approve,14-Jan-21,,14-Jan-21,103083,Approved
NonConformanceReport,NCR_NO=1140^,40,Document Completed Correction Activity,14-Jan-21,,14-Jan-21,103753,Approved
NonConformanceReport,NCR_NO=1140^,30,Disposition Product/Material,14-Jan-21,,14-Jan-21,103753,Approved
DocIssue,DOC_CLASS=866^DOC_NO=3147890^DOC_REV=A^DOC_SHEET=1^,10,Originator,14-Jan-21,,15-Jan-21,100397,Approved
NonConformanceReport,NCR_NO=1327^,60,QA Verification,14-Jan-21,,14-Jan-21,103834,Approved
InventoryPart,CONTRACT=100^PART_NO=HAP227887^,450,ME - Gate Review for Mod or Complex,14-Jan-21,,14-Jan-21,100599,Approved
MrbHead,MRB_NUMBER=4924^,5,Start approval process (initiator),14-Jan-21,,14-Jan-21,100842,Approved
OrderQuotation,QUOTATION_NO=1296050^,170,Sales: Final Clause Review,14-Jan-21,Clauses called out in notes section of quote tool. FAI routing steps added for HK237104 which added additional NRE. See updated attached quote tool.,12-Jan-21,103513,Approved
CustomerOrder,ORDER_NO=1703423^,50,Sales: CrossRef/Pricing/Quote/Order,14-Jan-21,,14-Jan-21,102261,Approved
InventoryPart,CONTRACT=100^PART_NO=380-TT321PX1TN^,10,Snsr/Inst Eng coordinator- Inactive,14-Jan-21,,14-Jan-21,100309,Approved
InventoryPart,CONTRACT=100^PART_NO=S100056CACA216^,15,Eng Coordinator,14-Jan-21,,15-Jan-21,100309,Approved
DocIssue,DOC_CLASS=842^DOC_NO=SEO-2445^DOC_REV=()^DOC_SHEET=1^,30,Set up done,14-Jan-21,,19-Jan-21,100294,Approved
DocIssue,DOC_CLASS=842^DOC_NO=SEO-2445^DOC_REV=()^DOC_SHEET=1^,20,SEO Set up,14-Jan-21,1/7 emailed Bob. W for SEO set up-Viasat,19-Jan-21,100294,Approved
MrbHead,MRB_NUMBER=4917^,20,Eng MRB Disposition,14-Jan-21,"Accept - Sort. Separate from in spec parts and label out of spec parts with .5” lead lengths, parts only to be used on parent sensor part numbers that require lead lengths of .5” or shorter. CGE - 14 Jan 2021",18-Jan-21,104101,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3163691^DOC_REV=()^DOC_SHEET=1^,10,Originator,14-Jan-21,,18-Jan-21,100397,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3163024^DOC_REV=()^DOC_SHEET=1^,50,Planner-Review Tooling in IFS,14-Jan-21,,14-Jan-21,100251,Approved
InventoryPart,CONTRACT=100^PART_NO=S100056CACA192^,30,PRELIMINARY - Connected Objects,14-Jan-21,Docs Checked,14-Jan-21,100309,Approved
AgreementSalesPartDeal,AGREEMENT_ID=964^CATALOG_NO=ASM22382^MIN_QUANTITY=0^VALID_FROM_DATE=2019-02-05-00.00.00^,45,Heater Planning,14-Jan-21,"CPA, 01/14/2021, (10)Siemens Healthcare (101133), 
Per Anita Whalen instructions, see doc#3163578, ASM22382 revising Agreement Qtity from 930 originally to 1630pcs.
Changing also unit price from $774.50 to $788.60 (Qte 1298038)
This  based on minimum release of 30 pieces. : no change here
This  based on Siemens confirming liability commitment of 600 chambers and 30 parts of completed safety stock. 
thanks.
Catherine
",20-Jan-21,100251,Approved
AgreementSalesPartDeal,AGREEMENT_ID=964^CATALOG_NO=HK20551^MIN_QUANTITY=0^VALID_FROM_DATE=2019-02-05-00.00.00^,20,Planning - Customer Agreement review,14-Jan-21,"CPA, 01/14/2021, (10)Siemens Healthcare (101133), 
Per Anita Whalen instructions, see doc#3163578, HK20551 revising Agreement Qtity from 1700 originally to 29000pcs.
Other information from ""characteristics"" : NO CHANGE
Catherine

",20-Jan-21,100251,Approved
InventoryPart,CONTRACT=100^PART_NO=HK236732^,120,EC - Release to Technician/Status Q,14-Jan-21,,14-Jan-21,103207,Approved
DocIssue,DOC_CLASS=701^DOC_NO=3123357^DOC_REV=()^DOC_SHEET=1^,20,Engineering Coordinator (optional),14-Jan-21,,14-Jan-21,100566,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3157398^DOC_REV=()^DOC_SHEET=1^,80,"Snsr/Inst: Eng Coord, Release Distribute",14-Jan-21,,14-Jan-21,100309,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163709^DOC_REV=()^DOC_SHEET=1^,10,Tech/Process Owner Approval,14-Jan-21,,14-Jan-21,102055,Approved
OrderQuotation,QUOTATION_NO=1297698^,40,Sales: Finish Quote,14-Jan-21,,13-Jan-21,100510,Approved
OrderQuotation,QUOTATION_NO=1297920^,70,Sales: CrossRef/Pricing/Quote,14-Jan-21,,14-Jan-21,120117,Approved
OrderQuotation,QUOTATION_NO=1297920^,30,Heaters: Engineering reviewer,14-Jan-21,"(20), 01/07/21, Diehl Aviation Gilching  GmbH, Juergen Maier, Kapton

Can you please setup the item below, with the info provided by the Engineer Isabelle Cotteret:

Diehl asked us to provide a quote of the reference HSFK235877:
Quantities --> 5-10pcs first samples, 20 pcs prototypes, 50,100,250pcs. 

Please have this quote routed to Mike M. as main engineer and Engineer Isabelle Cotteret as reviewer.

RFQ attached, Thanks AD. 01/07/21",14-Jan-21,120097,Approved
DocIssue,DOC_CLASS=575^DOC_NO=3161673^DOC_REV=()^DOC_SHEET=1^,22,Review Updates,14-Jan-21,,14-Jan-21,100355,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163681^DOC_REV=()^DOC_SHEET=1^,10,Tech/Process Owner Approval,14-Jan-21,,14-Jan-21,102055,Approved
InventoryPart,CONTRACT=100^PART_NO=293-234516^,10,Process Eng,14-Jan-21,,14-Jan-21,103594,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3162840^DOC_REV=()^DOC_SHEET=1^,50,Tech/Process Owner Release,14-Jan-21,,14-Jan-21,102055,Approved
AgreementSalesPartDeal,AGREEMENT_ID=964^CATALOG_NO=HK20551^MIN_QUANTITY=0^VALID_FROM_DATE=2019-02-05-00.00.00^,10,Sales setup customer agreement,14-Jan-21,,20-Jan-21,102140,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3163199^DOC_REV=()^DOC_SHEET=1^,50,Tech/Process Owner Release,14-Jan-21,,14-Jan-21,102055,Approved
InventoryPart,CONTRACT=100^PART_NO=S9786PA100T500Z120CAL11^,50,PRELIMINARY - Connected Objects,14-Jan-21,Docs Checked,14-Jan-21,100309,Approved
AgreementSalesPartDeal,AGREEMENT_ID=964^CATALOG_NO=ASM22382^MIN_QUANTITY=0^VALID_FROM_DATE=2019-02-05-00.00.00^,41,Sales -  update on customer agreement,14-Jan-21,,20-Jan-21,102140,Approved
MrbHead,MRB_NUMBER=4923^,20,Buyer - Get Certs,14-Jan-21,,14-Jan-21,100494,Approved
OrderQuotation,QUOTATION_NO=1297579^,40,Sales: Finish Quote,14-Jan-21,"30, 12/24, Top Ops Number 8689, Compound Photonics US Corp, Stefan Reuther, New Custom (proprietary to Compound Photonics US Corp). 
This is a new flex to be quoted ok per Chris, please route this to the Flex team.
Attached are the Fab and Assembly files for the FPC assembly I’d like you to quote. It consists of the bare flex assembled with a connector.
The top level assembly is:
Ø	170-00647-01 Rev1 -- FPC Assembly HD6 IDM 30 PIN HIROSE 1800 L X 702 W REDUCED SIGNAL SET
The bare flex is:
Ø	366-00142-01 Rev1 -- FPC, HD6 IDM, 30-pin Hirose Plug, 18.00 mm L x 7.02 mm W, Reduced Signal Set

In the attached zip, files beginning 366-00142-01 relate to the bare FPC and files beginning with 170-00647-01 relate to the FPC assembly. Besides the bare FPC, the 170-00647-01 contains one additional component, the Hirose connector.
 
In each case below, please provide two quotes, one for the bare FPC and one for the FPC assembly inclusive of the connector and SMT.
 
Please provide one set of quotes treating this as a prototype request for 1,000 devices on your standard proto lead time (or if you don’t have a standard prototype lead time, quote a four week lead time).
 
Please provide a separate budgetary quote for 170-00647-01 as a production quote at monthly volumes of 10k, 30k, 60k, and 150k.",5-Jan-21,100181,Approved
CustomerOrder,ORDER_NO=1703423^,10,Sales: Send request to Engineering,14-Jan-21,,14-Jan-21,102261,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3162101^DOC_REV=()^DOC_SHEET=1^,50,Tech/Process Owner Release,14-Jan-21,,14-Jan-21,103204,Approved
InventoryPart,CONTRACT=100^PART_NO=AS7004PD381Z3A0X0XA^,55,Eng Coordinator,14-Jan-21,,14-Jan-21,100309,Approved
CustomerOrder,ORDER_NO=1703418^,40,Release Order,14-Jan-21,Release Order After Denied Party Approval,14-Jan-21,100181,Approved
InventoryPart,CONTRACT=100^PART_NO=HAP236673 LEADWIRE^,80,EC - Release to Prod/Update IFS/File,14-Jan-21,,13-Jan-21,100259,Approved
DocIssue,DOC_CLASS=580^DOC_NO=1042779^DOC_REV=9^DOC_SHEET=1^,10,Originator,14-Jan-21,,14-Jan-21,104131,Approved
MrbHead,MRB_NUMBER=4923^,10,Initiate Approval Routing,14-Jan-21,,14-Jan-21,100214,Approved
InventoryPart,CONTRACT=100^PART_NO=S229717PM100F260C138Z126^,15,Eng Coordinator,14-Jan-21,,15-Jan-21,100309,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3162840^DOC_REV=()^DOC_SHEET=1^,45,Prod Lead Approval_Delete if sup apprv,14-Jan-21,,14-Jan-21,104112,Approved
